,id0,id1,projectId,matchGrade,similarity,properties,attributeSimilarities,tags,active,probability,type,gtLabel
0,"{'source': 'A', 'local': '4o4VMBYgAq5vk3dl', 'blocks': ['rec-iWnQroZ3N8GNRh8u-B##rec-4o4VMBYgAq5vk3dl-A']}","{'source': 'B', 'local': 'iWnQroZ3N8GNRh8u', 'blocks': ['rec-iWnQroZ3N8GNRh8u-B##rec-4o4VMBYgAq5vk3dl-A']}",648a2d726dddd56ae8446595,CERTAIN_MATCH,0.8861770413494552,"['active', 'REPORTED_LINK']","{'MIDDLENAME': 1.0, 'CITY': 0.3448275862068966, 'LASTNAME': 1.0, 'YEAROFBIRTH': 1.0, 'FIRSTNAME': 1.0, 'PLACEOFBIRTH': 1.0, 'PLZ': 0.5123152709359606}","[{'tag': 'PROBABILITY', 'stringValue': '0,886', 'numericValue': 0.8859470468431772}, {'tag': 'Groundtruth-Label', 'stringValue': 'TRUE_MATCH', 'numericValue': 1.0}, {'tag': 'type', 'stringValue': 'TP', 'numericValue': 1.0}]",True,0.8859470468431772,TP,TRUE_MATCH
1,"{'source': 'A', 'local': 'K3CWwKuTXoqgQasN', 'blocks': ['rec-pd0HSJCejMcmjEr4-B##rec-K3CWwKuTXoqgQasN-A']}","{'source': 'B', 'local': 'pd0HSJCejMcmjEr4', 'blocks': ['rec-pd0HSJCejMcmjEr4-B##rec-K3CWwKuTXoqgQasN-A']}",648a2d726dddd56ae8446595,NON_MATCH,0.8768269523265301,['REPORTED_LINK'],"{'MIDDLENAME': 1.0, 'CITY': 1.0, 'LASTNAME': 0.46078431372549017, 'YEAROFBIRTH': 1.0, 'FIRSTNAME': 1.0, 'PLACEOFBIRTH': 1.0, 'PLZ': 0.8133971291866029}","[{'tag': 'PROBABILITY', 'stringValue': '1,000', 'numericValue': 1.0}, {'tag': 'removedByClassifier'}, {'tag': 'Groundtruth-Label', 'stringValue': 'TRUE_MATCH', 'numericValue': 1.0}, {'tag': 'type', 'stringValue': 'FN', 'numericValue': 0.0}]",False,1.0,FN,TRUE_MATCH
2,"{'source': 'A', 'local': 'wVv1uY1aCZqplQPU', 'blocks': ['rec-wVv1uY1aCZqplQPU-A##rec-WzzNxPhK9Gs2OXuP-B']}","{'source': 'B', 'local': 'WzzNxPhK9Gs2OXuP', 'blocks': ['rec-wVv1uY1aCZqplQPU-A##rec-WzzNxPhK9Gs2OXuP-B']}",648a2d726dddd56ae8446595,CERTAIN_MATCH,0.819757456482932,"['active', 'REPORTED_LINK']","{'MIDDLENAME': 0.3835616438356164, 'CITY': 0.2658959537572254, 'LASTNAME': 1.0, 'YEAROFBIRTH': 1.0, 'FIRSTNAME': 1.0, 'PLACEOFBIRTH': 1.0, 'PLZ': 0.592964824120603}","[{'tag': 'PROBABILITY', 'stringValue': '0,983', 'numericValue': 0.9825633285383845}, {'tag': 'Groundtruth-Label', 'stringValue': 'TRUE_MATCH', 'numericValue': 1.0}, {'tag': 'type', 'stringValue': 'TP', 'numericValue': 1.0}]",True,0.9825633285383845,TP,TRUE_MATCH
3,"{'source': 'A', 'local': 'MVQSjSoHl53qnWiV', 'blocks': ['rec-MVQSjSoHl53qnWiV-A##rec-B0MAkQmH4XOuXVte-B']}","{'source': 'B', 'local': 'B0MAkQmH4XOuXVte', 'blocks': ['rec-MVQSjSoHl53qnWiV-A##rec-B0MAkQmH4XOuXVte-B']}",648a2d726dddd56ae8446595,NON_MATCH,0.7577059013540174,['REPORTED_LINK'],"{'MIDDLENAME': 0.17751479289940827, 'CITY': 1.0, 'LASTNAME': 0.5922330097087378, 'YEAROFBIRTH': 1.0, 'FIRSTNAME': 1.0, 'PLACEOFBIRTH': 0.5615763546798029, 'PLZ': 0.6893203883495146}","[{'tag': 'PROBABILITY', 'stringValue': '1,000', 'numericValue': 1.0}, {'tag': 'removedByClassifier'}, {'tag': 'Groundtruth-Label', 'stringValue': 'TRUE_NON_MATCH', 'numericValue': 0.0}, {'tag': 'type', 'stringValue': 'TN', 'numericValue': 1.0}]",False,1.0,TN,TRUE_NON_MATCH
4,"{'source': 'A', 'local': 'km1skaFbaVOs4EnY', 'blocks': ['rec-km1skaFbaVOs4EnY-A##rec-ftGfOVx83XfGmZiP-B']}","{'source': 'B', 'local': 'ftGfOVx83XfGmZiP', 'blocks': ['rec-km1skaFbaVOs4EnY-A##rec-ftGfOVx83XfGmZiP-B']}",648a2d726dddd56ae8446595,CERTAIN_MATCH,0.8945121121393577,"['active', 'REPORTED_LINK']","{'MIDDLENAME': 1.0, 'CITY': 0.40718562874251496, 'LASTNAME': 1.0, 'YEAROFBIRTH': 1.0, 'FIRSTNAME': 1.0, 'PLACEOFBIRTH': 1.0, 'PLZ': 0.53125}","[{'tag': 'PROBABILITY', 'stringValue': '0,886', 'numericValue': 0.8859470468431772}, {'tag': 'Groundtruth-Label', 'stringValue': 'TRUE_MATCH', 'numericValue': 1.0}, {'tag': 'type', 'stringValue': 'TP', 'numericValue': 1.0}]",True,0.8859470468431772,TP,TRUE_MATCH
5,"{'source': 'A', 'local': 'eAuVFZKZpcTB8T11', 'blocks': ['rec-eAuVFZKZpcTB8T11-A##rec-c0xYoLnccGm8zNRg-B']}","{'source': 'B', 'local': 'c0xYoLnccGm8zNRg', 'blocks': ['rec-eAuVFZKZpcTB8T11-A##rec-c0xYoLnccGm8zNRg-B']}",648a2d726dddd56ae8446595,CERTAIN_MATCH,0.8970680195858651,"['active', 'REPORTED_LINK']","{'MIDDLENAME': 1.0, 'CITY': 0.4260869565217391, 'LASTNAME': 1.0, 'YEAROFBIRTH': 1.0, 'FIRSTNAME': 1.0, 'PLACEOFBIRTH': 1.0, 'PLZ': 0.5373134328358209}","[{'tag': 'PROBABILITY', 'stringValue': '0,983', 'numericValue': 0.9825633285383845}, {'tag': 'Groundtruth-Label', 'stringValue': 'TRUE_MATCH', 'numericValue': 1.0}, {'tag': 'type', 'stringValue': 'TP', 'numericValue': 1.0}]",True,0.9825633285383845,TP,TRUE_MATCH
6,"{'source': 'A', 'local': '2jbguWShbjcZNkhK', 'blocks': ['rec-bYza6L8rFk5aGMSa-B##rec-2jbguWShbjcZNkhK-A']}","{'source': 'B', 'local': 'bYza6L8rFk5aGMSa', 'blocks': ['rec-bYza6L8rFk5aGMSa-B##rec-2jbguWShbjcZNkhK-A']}",648a2d726dddd56ae8446595,CERTAIN_MATCH,0.9033157997272551,"['active', 'REPORTED_LINK']","{'MIDDLENAME': 1.0, 'CITY': 0.39080459770114945, 'LASTNAME': 1.0, 'YEAROFBIRTH': 1.0, 'FIRSTNAME': 1.0, 'PLZ': 0.76}","[{'tag': 'PROBABILITY', 'stringValue': '0,983', 'numericValue': 0.9825633285383845}, {'tag': 'Groundtruth-Label', 'stringValue': 'TRUE_MATCH', 'numericValue': 1.0}, {'tag': 'type', 'stringValue': 'TP', 'numericValue': 1.0}]",True,0.9825633285383845,TP,TRUE_MATCH
7,"{'source': 'A', 'local': 'n25b5zBQWrfFCdyq', 'blocks': ['rec-n25b5zBQWrfFCdyq-A##rec-02V2fqgM7363EYC7-B']}","{'source': 'B', 'local': '02V2fqgM7363EYC7', 'blocks': ['rec-n25b5zBQWrfFCdyq-A##rec-02V2fqgM7363EYC7-B']}",648a2d726dddd56ae8446595,CERTAIN_MATCH,0.8976202705016264,"['active', 'REPORTED_LINK']","{'CITY': 1.0, 'LASTNAME': 0.5353535353535354, 'YEAROFBIRTH': 1.0, 'FIRSTNAME': 1.0, 'PLACEOFBIRTH': 1.0, 'PLZ': 1.0}","[{'tag': 'PROBABILITY', 'stringValue': '0,908', 'numericValue': 0.9079711551208627}, {'tag': 'Groundtruth-Label', 'stringValue': 'TRUE_MATCH', 'numericValue': 1.0}, {'tag': 'type', 'stringValue': 'TP', 'numericValue': 1.0}]",True,0.9079711551208627,TP,TRUE_MATCH
8,"{'source': 'A', 'local': 'D7grnfcMQ7Gkn3id', 'blocks': ['rec-yiiERBQzFjYZKYqJ-B##rec-D7grnfcMQ7Gkn3id-A']}","{'source': 'B', 'local': 'yiiERBQzFjYZKYqJ', 'blocks': ['rec-yiiERBQzFjYZKYqJ-B##rec-D7grnfcMQ7Gkn3id-A']}",648a2d726dddd56ae8446595,CERTAIN_MATCH,0.8674277010180721,"['active', 'REPORTED_LINK']","{'MIDDLENAME': 0.725, 'CITY': 0.41545893719806765, 'LASTNAME': 1.0, 'YEAROFBIRTH': 1.0, 'FIRSTNAME': 1.0, 'PLACEOFBIRTH': 1.0, 'PLZ': 0.5445026178010471}","[{'tag': 'PROBABILITY', 'stringValue': '0,983', 'numericValue': 0.9825633285383845}, {'tag': 'Groundtruth-Label', 'stringValue': 'TRUE_MATCH', 'numericValue': 1.0}, {'tag': 'type', 'stringValue': 'TP', 'numericValue': 1.0}]",True,0.9825633285383845,TP,TRUE_MATCH
9,"{'source': 'A', 'local': 'wl4fVXNxBJaCRcWw', 'blocks': ['rec-wl4fVXNxBJaCRcWw-A##rec-wbbZ5mIJYbzEHgZ9-B']}","{'source': 'B', 'local': 'wbbZ5mIJYbzEHgZ9', 'blocks': ['rec-wl4fVXNxBJaCRcWw-A##rec-wbbZ5mIJYbzEHgZ9-B']}",648a2d726dddd56ae8446595,CERTAIN_MATCH,0.8741469948099782,"['active', 'REPORTED_LINK']","{'MIDDLENAME': 1.0, 'CITY': 0.27624309392265195, 'LASTNAME': 1.0, 'YEAROFBIRTH': 1.0, 'FIRSTNAME': 1.0, 'PLACEOFBIRTH': 1.0, 'PLZ': 0.46}","[{'tag': 'PROBABILITY', 'stringValue': '0,886', 'numericValue': 0.8859470468431772}, {'tag': 'Groundtruth-Label', 'stringValue': 'TRUE_MATCH', 'numericValue': 1.0}, {'tag': 'type', 'stringValue': 'TP', 'numericValue': 1.0}]",True,0.8859470468431772,TP,TRUE_MATCH
10,"{'source': 'A', 'local': 'eIuwSvSer2R5n868', 'blocks': ['rec-y3FLZXHwqN6FABX5-B##rec-eIuwSvSer2R5n868-A']}","{'source': 'B', 'local': 'y3FLZXHwqN6FABX5', 'blocks': ['rec-y3FLZXHwqN6FABX5-B##rec-eIuwSvSer2R5n868-A']}",648a2d726dddd56ae8446595,CERTAIN_MATCH,0.9182360037623196,"['active', 'REPORTED_LINK']","{'MIDDLENAME': 1.0, 'CITY': 0.5175438596491229, 'LASTNAME': 1.0, 'YEAROFBIRTH': 1.0, 'FIRSTNAME': 1.0, 'PLACEOFBIRTH': 1.0, 'PLZ': 0.6634615384615384}","[{'tag': 'PROBABILITY', 'stringValue': '0,983', 'numericValue': 0.9825633285383845}, {'tag': 'Groundtruth-Label', 'stringValue': 'TRUE_MATCH', 'numericValue': 1.0}, {'tag': 'type', 'stringValue': 'TP', 'numericValue': 1.0}]",True,0.9825633285383845,TP,TRUE_MATCH
11,"{'source': 'A', 'local': 'SEDxdRc2wdkhKtWU', 'blocks': ['rec-uwbQaFKmi6bjhpiF-B##rec-SEDxdRc2wdkhKtWU-A']}","{'source': 'B', 'local': 'uwbQaFKmi6bjhpiF', 'blocks': ['rec-uwbQaFKmi6bjhpiF-B##rec-SEDxdRc2wdkhKtWU-A']}",648a2d726dddd56ae8446595,CERTAIN_MATCH,0.903645138383185,"['active', 'REPORTED_LINK']","{'MIDDLENAME': 1.0, 'CITY': 0.40594059405940597, 'LASTNAME': 1.0, 'YEAROFBIRTH': 1.0, 'FIRSTNAME': 1.0, 'PLACEOFBIRTH': 1.0, 'PLZ': 0.6331658291457286}","[{'tag': 'PROBABILITY', 'stringValue': '0,983', 'numericValue': 0.9825633285383845}, {'tag': 'Groundtruth-Label', 'stringValue': 'TRUE_MATCH', 'numericValue': 1.0}, {'tag': 'type', 'stringValue': 'TP', 'numericValue': 1.0}]",True,0.9825633285383845,TP,TRUE_MATCH
12,"{'source': 'A', 'local': 'uMdlAWfdsrK3qXyh', 'blocks': ['rec-uMdlAWfdsrK3qXyh-A##rec-FkuQY2fVQDjcH16A-B']}","{'source': 'B', 'local': 'FkuQY2fVQDjcH16A', 'blocks': ['rec-uMdlAWfdsrK3qXyh-A##rec-FkuQY2fVQDjcH16A-B']}",648a2d726dddd56ae8446595,NON_MATCH,0.7711437747878224,['REPORTED_LINK'],"{'CITY': 0.3741935483870968, 'LASTNAME': 0.460093896713615, 'YEAROFBIRTH': 1.0, 'FIRSTNAME': 1.0, 'PLACEOFBIRTH': 1.0, 'PLZ': 0.6494845360824743}","[{'tag': 'PROBABILITY', 'stringValue': '0,986', 'numericValue': 0.9855868182691827}, {'tag': 'removedByClassifier'}, {'tag': 'Groundtruth-Label', 'stringValue': 'TRUE_MATCH', 'numericValue': 1.0}, {'tag': 'type', 'stringValue': 'FN', 'numericValue': 0.0}]",False,0.9855868182691827,FN,TRUE_MATCH
13,"{'source': 'A', 'local': 'QV8HMj2TSz6F7RAP', 'blocks': ['rec-raIPXgQFUUx2ejUY-B##rec-QV8HMj2TSz6F7RAP-A']}","{'source': 'B', 'local': 'raIPXgQFUUx2ejUY', 'blocks': ['rec-raIPXgQFUUx2ejUY-B##rec-QV8HMj2TSz6F7RAP-A']}",648a2d726dddd56ae8446595,CERTAIN_MATCH,0.8960950149692024,"['active', 'REPORTED_LINK']","{'MIDDLENAME': 1.0, 'CITY': 0.4036697247706422, 'LASTNAME': 1.0, 'YEAROFBIRTH': 1.0, 'FIRSTNAME': 1.0, 'PLACEOFBIRTH': 1.0, 'PLZ': 0.5527638190954773}","[{'tag': 'PROBABILITY', 'stringValue': '0,983', 'numericValue': 0.9825633285383845}, {'tag': 'Groundtruth-Label', 'stringValue': 'TRUE_MATCH', 'numericValue': 1.0}, {'tag': 'type', 'stringValue': 'TP', 'numericValue': 1.0}]",True,0.9825633285383845,TP,TRUE_MATCH
14,"{'source': 'A', 'local': 'ZdmCyYCXjAZRuOqQ', 'blocks': ['rec-el1bNuxrdTGPtsPT-B##rec-ZdmCyYCXjAZRuOqQ-A']}","{'source': 'B', 'local': 'el1bNuxrdTGPtsPT', 'blocks': ['rec-el1bNuxrdTGPtsPT-B##rec-ZdmCyYCXjAZRuOqQ-A']}",648a2d726dddd56ae8446595,CERTAIN_MATCH,0.8970583414167554,"['active', 'REPORTED_LINK']","{'CITY': 0.39361702127659576, 'LASTNAME': 1.0, 'YEAROFBIRTH': 1.0, 'FIRSTNAME': 1.0, 'PLACEOFBIRTH': 1.0, 'PLZ': 0.6951871657754011}","[{'tag': 'PROBABILITY', 'stringValue': '0,886', 'numericValue': 0.8859470468431772}, {'tag': 'Groundtruth-Label', 'stringValue': 'TRUE_MATCH', 'numericValue': 1.0}, {'tag': 'type', 'stringValue': 'TP', 'numericValue': 1.0}]",True,0.8859470468431772,TP,TRUE_MATCH
